time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002348,0.1245,0.0757,0.3894,0.416
0.017688,0.1298,0.0335,-0.1187,0.179
0.037667,0.0468,0.0845,-0.6007,0.608
0.058224,-0.1178,0.0192,-0.2473,0.275
0.078275,-0.0469,-0.1508,0.2379,0.286
0.098732,0.1025,-0.2415,0.2893,0.391
0.118564,0.1072,-0.1104,0.1617,0.223
0.138901,-0.1269,-0.0893,-0.0227,0.157
0.159017,-0.1505,-0.0799,0.0245,0.172
0.181071,0.0114,0.0389,0.1716,0.176
0.203445,0.0404,-0.0436,0.1382,0.150
0.221667,0.0352,0.0305,-0.0930,0.104
0.242513,0.1106,0.0374,0.0252,0.119
0.262667,0.1696,-0.0730,0.3182,0.368
0.282987,0.1360,-0.1586,0.3706,0.425
0.303022,0.0910,-0.0291,-0.0965,0.136
0.323591,-0.0098,0.0251,-0.1576,0.160
0.343953,-0.1623,-0.0037,0.1912,0.251
0.363847,-0.1571,0.0170,0.1535,0.220
0.383836,-0.0158,-0.0027,0.0308,0.035
0.401470,0.0948,-0.0064,0.1492,0.177
0.423281,0.0344,0.0199,0.0790,0.088
0.444254,-0.0023,0.0577,-0.0296,0.065
0.463629,0.0660,0.0189,-0.0246,0.073
0.484940,0.0688,0.0182,-0.0624,0.095
0.503930,0.0069,-0.0327,-0.0104,0.035
0.525344,0.0356,-0.0701,0.0931,0.122
0.544472,0.0901,-0.0845,0.0370,0.129
0.565934,0.0681,-0.1408,0.0699,0.171
0.584884,0.0784,-0.0962,0.1503,0.195
0.606379,0.0432,-0.1407,0.1880,0.239
0.625464,0.0609,-0.0167,0.0512,0.081
0.646749,0.0166,0.0490,-0.0616,0.080
0.665547,-0.0568,-0.0348,0.1935,0.205
0.687107,0.0161,0.0666,0.1279,0.145
0.706290,-0.0246,0.0140,-0.0329,0.043
0.726127,-0.0825,0.0616,0.0941,0.139
0.746640,-0.1117,0.0513,0.0758,0.144
0.767015,-0.0898,-0.0526,0.1366,0.172
0.786954,-0.0238,-0.0552,0.2737,0.280
0.807264,0.0410,-0.0064,0.0663,0.078
0.826158,0.0541,-0.0377,-0.0041,0.066
0.848356,0.0902,-0.0757,0.0904,0.148
0.866815,0.1193,-0.0305,0.0053,0.123
0.888678,0.0787,-0.0489,-0.0751,0.119
0.907221,0.0750,-0.0956,0.1230,0.173
0.928549,0.0627,-0.0179,0.0288,0.071
0.947698,0.0395,0.0088,-0.2020,0.206
0.967912,0.0123,-0.0013,-0.0133,0.018
0.991393,-0.0105,0.0288,0.1288,0.132
1.008261,-0.0050,0.0465,-0.0741,0.088
1.030900,0.0298,0.0343,-0.0792,0.091
1.049000,0.0381,-0.0084,0.1563,0.161
1.072086,0.0379,-0.0987,0.2410,0.263
1.089096,0.1161,-0.0734,0.1838,0.229
1.112726,0.0442,-0.0382,0.1226,0.136
1.129604,-0.0284,-0.0958,0.2125,0.235
1.151933,-0.0291,-0.0289,0.2033,0.207
