time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.170870,-0.0947,0.0006,0.0759,0.121
1.191948,-0.0891,0.0565,0.0194,0.107
1.211301,-0.0079,0.0592,-0.0839,0.103
1.231789,0.0926,0.0254,-0.0318,0.101
1.251887,0.0185,-0.0513,0.0907,0.106
1.272273,0.0375,0.0144,-0.0229,0.046
1.292141,0.0665,-0.0577,-0.0655,0.110
1.312941,0.0282,-0.1123,0.1710,0.207
1.332719,0.0187,-0.1653,0.3029,0.346
1.352500,0.1044,-0.0846,0.0392,0.140
1.372397,0.0944,-0.0082,-0.0552,0.110
1.392700,0.0029,-0.0352,0.0491,0.061
1.412683,-0.0161,-0.0283,0.1056,0.111
1.436055,-0.0252,-0.0530,-0.0503,0.077
1.455028,-0.0415,-0.0178,-0.0030,0.045
1.476753,-0.0830,-0.0315,0.0870,0.124
1.495336,-0.0169,-0.0187,0.0727,0.077
1.514191,0.0399,-0.0554,-0.0031,0.068
1.534238,0.0761,-0.0201,0.0770,0.110
1.554606,0.0070,0.0062,0.1054,0.106
1.574838,-0.0615,0.0598,-0.0121,0.087
1.596509,-0.0404,0.0609,-0.0780,0.107
1.616565,0.0354,0.0366,0.0823,0.097
1.636612,0.0815,0.0211,0.1531,0.175
1.657030,0.1178,-0.0034,0.0306,0.122
1.677444,0.1294,-0.0067,0.0169,0.131
1.697422,0.0415,-0.0102,0.1107,0.119
1.717592,-0.0388,-0.0151,0.1394,0.146
1.737912,0.0424,-0.0083,0.1111,0.119
1.758763,0.0501,-0.0159,0.0977,0.111
1.781362,-0.0022,-0.0010,0.1449,0.145
1.799056,-0.0439,0.0204,0.0513,0.070
1.818828,-0.0800,0.0319,-0.0383,0.094
1.843557,-0.0957,-0.0416,0.0516,0.116
1.860837,-0.1108,-0.2041,0.1599,0.282
1.883200,-0.2929,-0.2720,0.3019,0.501
1.900657,-0.5519,-0.0598,0.2034,0.591
1.919302,-0.8807,0.1085,-0.2393,0.919
1.942290,-1.1322,0.0124,-0.4190,1.207
1.959445,-1.2775,-0.1055,-0.0893,1.285
1.981352,-1.4921,-0.0713,0.2175,1.510
2.001152,-1.8816,-0.0891,-0.0052,1.884
2.021801,-2.3905,-0.0490,-0.0731,2.392
2.042118,-3.0411,0.0427,-0.0147,3.041
2.060495,-3.5905,0.3464,-0.0692,3.608
2.085687,-4.0327,0.3646,-0.1190,4.051
2.105536,-4.0570,0.0766,0.0589,4.058
2.126429,-3.4198,0.3812,0.7045,3.512
2.145265,-2.6238,0.3782,0.6920,2.740
2.166486,-1.5104,-0.1421,-0.0392,1.518
2.184235,-0.9575,-0.2920,0.3676,1.066
2.206339,-1.0093,0.1768,1.9244,2.180
2.224085,-0.4745,0.9645,1.5819,1.913
2.246354,0.8626,1.0773,-0.1858,1.393
2.265590,2.1701,0.9961,-1.0537,2.610
2.283018,3.1876,1.0824,-0.9437,3.496
2.307317,4.5245,1.2359,-0.6689,4.738
2.325439,4.4100,0.8097,-0.2222,4.489
2.345900,3.1457,0.3889,-0.4383,3.200
2.366882,2.7409,0.3479,-1.3439,3.072
2.384027,3.2545,0.0815,-1.2921,3.503
2.404015,3.4971,-0.0502,-1.0945,3.665
2.426533,2.8783,-0.1668,-1.3935,3.202
2.449869,2.3418,-0.4434,-1.0269,2.595
2.465370,2.3151,-0.6309,0.5228,2.456
2.485430,1.6626,-0.7211,1.2772,2.217
2.505308,0.6467,-0.6351,0.4763,1.024
2.528650,0.0941,-0.5267,-0.1245,0.549
2.546592,0.0804,-0.5774,0.3165,0.663
2.568584,0.1790,-0.7362,0.6871,1.023
2.586372,-0.0698,-0.8785,0.4029,0.969
2.609163,-0.3260,-0.9644,0.0384,1.019
2.626879,-0.2297,-1.1480,-0.1804,1.185
2.647548,0.0631,-1.3514,-0.2405,1.374
2.667062,0.0260,-1.5929,-0.3717,1.636
2.687416,-0.4356,-2.1755,-0.8754,2.385
2.707743,-0.4809,-2.6894,-1.3608,3.052
2.728770,0.3430,-2.9204,-1.2469,3.194
2.748014,0.6026,-3.5617,-1.2564,3.825
2.770419,-0.0464,-4.2514,-1.3051,4.447
2.790455,-0.3193,-4.5358,-1.2748,4.722
2.808338,-0.4313,-4.5833,-1.6248,4.882
2.832196,-0.9795,-4.1561,-1.5084,4.529
2.849690,-2.0194,-3.3222,-0.1994,3.893
2.872225,-2.1463,-2.5756,2.2123,4.017
2.891835,-0.1025,-0.4768,3.9146,3.945
2.912323,-0.1532,1.5734,2.5165,2.972
2.932170,-0.6923,3.2430,0.9202,3.441
2.951172,1.2251,4.7481,0.7015,4.953
2.970615,2.5164,4.9660,0.4516,5.585
2.993688,1.1406,4.2006,1.7177,4.679
3.011092,0.2509,3.5380,2.5068,4.343
3.032739,0.8810,4.1112,0.7445,4.270
3.051441,1.9241,4.4250,-1.3558,5.012
3.073190,1.7150,3.6502,-1.2851,4.233
3.092673,1.0455,2.9808,-0.0552,3.159
3.112866,0.7146,2.5628,-0.2145,2.669
3.132772,0.6673,1.9913,-0.6204,2.190
3.153231,0.4457,1.4145,-0.5153,1.570
3.173496,0.2035,1.1478,-0.2195,1.186
3.194213,0.0126,0.6366,-0.0087,0.637
3.214466,0.1278,0.4056,-0.3293,0.538
3.234258,0.3276,0.2883,-0.7261,0.847
3.254639,0.4528,0.0336,-0.7039,0.838
3.278514,0.7446,0.1653,-0.8193,1.119
3.294464,1.0468,0.3857,-0.8658,1.412
3.314608,1.4288,0.4099,-0.6688,1.630
3.335093,1.6713,0.3727,-0.3574,1.749
3.355048,1.9005,0.5545,-0.5752,2.062
3.375646,2.5560,0.7071,-0.5296,2.704
3.395535,3.5259,0.7955,-0.2668,3.624
3.415313,4.0271,0.7549,-0.4387,4.121
3.435479,4.3105,0.6869,-0.8823,4.453
3.455388,4.7100,0.2991,-1.1104,4.848
3.476451,5.3289,0.2104,-0.8251,5.396
3.497784,5.6321,0.4766,-0.5677,5.681
3.518164,5.1267,0.1574,-0.4811,5.152
3.536327,4.7118,0.0262,-0.1743,4.715
3.558053,3.6825,0.1290,-0.3251,3.699
3.578296,2.1173,0.1811,-0.1683,2.132
3.598774,0.7157,-0.0466,0.4751,0.860
3.618682,-0.5605,-0.5128,1.2429,1.457
3.639217,-1.8168,-0.5095,1.3998,2.349
3.662066,-3.2011,-0.1430,1.6687,3.613
3.681027,-5.2060,-0.0850,2.0558,5.598
3.703482,-6.4502,0.0497,2.9351,7.087
3.721051,-6.4693,0.7121,2.7105,7.050
3.743634,-5.7669,1.7911,0.1941,6.042
3.763909,-5.4697,1.8179,-2.2241,6.178
3.785300,-4.6230,0.7412,-2.2071,5.176
3.804068,-3.7761,0.2650,-0.9373,3.900
3.823186,-3.0467,-0.1065,-0.5872,3.105
3.843642,-2.4212,-0.0497,-1.3824,2.788
3.863279,-2.1467,0.2415,-1.5471,2.657
3.886056,-2.2600,-0.0022,-0.4736,2.309
3.902710,-2.2259,-0.0563,0.3878,2.260
3.923260,-1.9266,-0.1011,-0.0110,1.929
3.940804,-1.5005,0.0200,-0.2283,1.518
3.963932,-1.1336,-0.0466,-0.0621,1.136
3.984050,-0.6507,-0.1355,0.1262,0.677
4.004119,-0.1453,-0.1460,0.1817,0.275
4.024205,0.2666,-0.0805,0.1056,0.298
4.043803,0.2722,0.0742,0.0254,0.283
4.063266,0.1403,0.3419,-0.0358,0.371
4.083561,0.2154,0.7016,0.0316,0.735
4.104956,0.3140,1.2999,-0.2415,1.359
4.125532,0.1982,1.8005,-0.3229,1.840
4.144306,0.0480,2.3894,-0.0062,2.390
4.164790,0.2190,3.1859,-0.1901,3.199
4.184199,0.1462,4.0056,-0.4608,4.035
4.204202,0.3374,4.6097,0.1501,4.624
4.224287,0.7679,4.7354,0.6654,4.843
4.246183,1.1543,5.6733,0.6514,5.826
4.264971,0.7188,6.3384,0.5833,6.406
4.285026,0.0891,6.4704,0.3399,6.480
4.305454,-0.4702,5.5025,0.7868,5.578
4.325363,-0.0491,4.3156,1.5877,4.599
4.345765,0.0013,3.0309,1.5457,3.402
4.365690,0.0526,0.9942,1.7026,1.972
4.386175,-0.3877,-1.2366,1.3445,1.867
4.406529,-0.7623,-2.6508,0.9364,2.913
4.427103,0.1265,-3.9744,2.1338,4.513
4.447482,0.7697,-5.0985,1.5984,5.398
4.467807,0.7546,-5.6818,-0.6757,5.771
4.492776,1.2696,-5.7746,-0.9654,5.991
4.509089,1.7948,-5.5612,-0.9529,5.921
4.528704,0.8586,-4.7392,-1.9200,5.185
4.550832,-0.5800,-3.7470,-3.2477,4.992
4.568861,-0.9174,-3.7309,-3.5578,5.236
4.591542,-0.0341,-3.0176,-2.9950,4.252
4.608881,0.1268,-2.5410,-2.2120,3.371
4.632456,-0.2252,-2.3884,-1.1303,2.652
4.648733,-0.9586,-1.7170,-0.4243,2.012
4.671162,-1.8048,-1.4149,-0.3169,2.315
4.689601,-1.8433,-1.3205,-0.5041,2.323
4.713088,-1.3324,-1.0411,-0.3900,1.735
4.729447,-1.0814,-0.7750,0.0495,1.331
4.750913,-1.1986,-0.8174,0.3340,1.489
4.769969,-0.8964,-0.8293,0.2789,1.253
4.793046,-0.7626,-0.5479,0.1629,0.953
4.810726,-0.7645,-0.2084,-0.1332,0.804
4.833547,-0.5200,0.0269,-0.5435,0.753
4.850811,-1.3085,0.0583,-0.7359,1.502
4.874526,-2.6625,0.1119,-0.8148,2.787
4.892314,-3.1215,-0.1301,-0.9932,3.278
4.912212,-4.0366,-0.5327,-1.4162,4.311
4.932817,-5.4635,0.5019,-1.4303,5.670
4.952045,-7.0578,1.6023,-0.9749,7.303
4.972544,-8.6310,1.4552,-0.2027,8.755
4.994269,-8.4261,2.2537,0.2553,8.726
5.013193,-7.4663,3.0847,0.4876,8.093
5.032775,-2.9690,2.9006,0.1735,4.154
5.053349,0.2188,1.4870,0.6094,1.622
5.076401,-1.1531,0.9562,0.1452,1.505
5.095837,-0.6119,1.3419,-0.6347,1.606
5.116149,2.4780,1.5730,-1.0010,3.101
5.134514,4.8600,0.8988,-1.0247,5.047
5.156373,3.9386,0.4917,-0.7501,4.039
5.177328,4.7834,1.2436,-0.8455,5.014
5.197477,6.5969,0.2975,-2.0480,6.914
5.217097,7.5772,-0.1215,-2.1543,7.878
5.238410,6.9603,0.0616,-0.6392,6.990
5.256361,6.2416,1.5269,0.6604,6.460
5.276823,4.7909,3.4653,1.6482,6.138
5.301163,2.7356,1.9770,0.5409,3.418
5.318679,1.7714,1.4977,0.2235,2.330
5.339947,1.1185,1.3144,-0.3356,1.758
5.364059,2.1446,1.1170,-0.7972,2.546
5.379519,2.9614,0.5940,-0.7860,3.121
5.398146,2.3291,-0.3327,-0.2688,2.368
5.417221,1.3942,-0.5609,0.0293,1.503
5.440450,1.1994,-0.5041,-0.0405,1.302
5.458411,1.2872,-0.2853,-0.0906,1.322
5.481175,0.7234,-0.4157,0.1004,0.840
5.498962,-0.1319,-0.4724,0.4967,0.698
5.520221,-0.6368,-0.7318,0.2911,1.013
5.539133,0.0292,-0.8979,0.1634,0.913
5.561845,0.2606,-1.3405,0.2828,1.395
5.580839,-0.0175,-2.0199,0.4130,2.062
5.602116,0.2267,-2.6848,0.5836,2.757
5.619712,-0.0084,-3.4592,0.4079,3.483
5.642541,-0.0179,-4.2726,0.4933,4.301
5.660954,0.0618,-4.6413,-0.0796,4.642
5.683477,1.3904,-3.6829,-2.9740,4.934
5.701865,1.4945,-3.9712,-4.2521,6.007
5.721004,-0.0500,-4.8055,-2.7974,5.561
5.741147,-0.6606,-4.7923,0.0541,4.838
5.761241,1.4522,-4.9744,1.6157,5.428
5.782127,2.4720,-4.1857,0.1074,4.862
5.802445,0.7020,-1.4008,-1.6330,2.263
5.822370,-0.4736,-0.2388,-2.0793,2.146
5.841550,-0.3918,0.6012,-0.8304,1.097
5.861652,0.9643,2.4798,0.3397,2.682
5.885949,2.6125,3.5433,0.8774,4.489
5.901739,1.3288,4.0921,1.7652,4.650
5.927119,-0.6073,4.7542,0.2061,4.797
5.943014,-1.1402,4.9659,-1.0910,5.211
5.967253,-0.0879,5.3161,-0.8504,5.384
5.985038,0.3459,5.4633,-0.7612,5.527
6.007545,-0.1560,4.6024,-1.1043,4.736
6.025318,0.5084,3.9898,-0.7758,4.096
6.047736,0.3068,3.3649,-0.1288,3.381
6.066483,-0.6078,2.2575,0.4833,2.387
6.088254,-0.6543,1.4904,1.0162,1.919
6.106539,-0.1386,1.1906,1.1031,1.629
6.128916,0.3884,0.8961,0.4399,1.071
6.145813,0.1577,0.6923,-0.0996,0.717
6.167412,0.0859,0.7919,-0.1962,0.820
6.185862,0.2543,0.8991,-0.4348,1.031
6.208056,0.8130,0.8733,-0.4429,1.273
6.225828,1.8422,0.9589,-0.8013,2.226
6.247885,2.3599,0.7777,-0.9761,2.670
6.265571,2.6067,0.7633,-0.7143,2.809
6.286836,3.3557,0.8785,-1.1043,3.640
6.306740,3.8146,0.8275,-1.6372,4.233
6.328286,4.5171,0.5681,-1.5875,4.821
6.347008,5.2912,0.2460,-1.2713,5.447
6.369436,5.4802,0.3173,-1.1137,5.601
6.387427,5.7828,0.7939,-1.5385,6.036
6.415337,5.6335,1.3313,-2.2055,6.195
6.434675,4.3187,0.7011,-2.2492,4.919
6.449619,3.7549,0.3652,-1.5361,4.073
6.468015,3.3636,0.6405,-0.1840,3.429
6.490941,1.2989,0.5543,0.4420,1.480
6.509730,-2.6514,-0.2625,1.1790,2.914
6.529120,-4.6344,-0.8119,3.6691,5.967
6.550928,-5.1358,-0.2209,4.5484,6.864
6.570042,-6.4607,0.4182,2.4600,6.926
6.590545,-7.5859,0.5659,1.1529,7.694
6.609607,-7.0914,1.4339,0.0726,7.235
6.631718,-6.8618,1.1547,-0.8529,7.010
6.650573,-6.0333,0.7750,-0.9125,6.151
6.671529,-4.4602,0.3151,-0.9135,4.564
6.690539,-3.1957,-0.1134,-0.1966,3.204
6.710989,-2.4819,-0.3455,0.3523,2.531
6.730869,-2.1868,-0.2259,0.0045,2.198
6.750846,-1.8068,0.0050,-0.3213,1.835
6.771917,-1.3253,-0.0356,-0.1280,1.332
6.792216,-1.0782,-0.0053,0.3813,1.144
6.812088,-0.6102,0.0424,0.5147,0.799
6.832062,-0.2643,0.2134,0.5130,0.615
6.852705,-0.2943,0.7335,0.5013,0.936
6.872985,-0.0262,1.5370,-0.2401,1.556
6.893979,0.4186,2.1405,-0.9038,2.361
6.913434,0.6314,2.6294,-0.6359,2.778
6.934009,0.6242,3.1727,-0.4159,3.260
6.954110,0.6059,3.7301,-0.7816,3.859
6.974120,0.6055,4.4985,-0.9663,4.641
6.993869,0.4764,4.8083,-0.6242,4.872
7.014570,0.5667,5.0339,-0.2245,5.071
7.034112,0.9713,5.3789,0.1191,5.467
7.054784,0.9571,5.4487,0.1921,5.535
7.077231,0.8309,5.3955,0.6050,5.493
7.098474,0.9976,5.3628,0.1190,5.456
7.118669,0.2139,4.2294,0.3491,4.249
7.139219,-0.4453,2.3909,0.4837,2.480
7.160419,-0.9507,0.4634,-0.2459,1.086
7.179678,-1.1351,-2.2962,-0.0558,2.562
7.199389,-0.6585,-4.1721,0.9590,4.331
7.218389,-0.1995,-4.6992,1.0936,4.829
7.239678,-0.3094,-5.4753,0.1605,5.486
7.261204,-0.0928,-5.2911,-0.0255,5.292
7.281460,-1.0467,-5.5953,-1.3479,5.850
7.301482,-1.1129,-6.1597,-2.0479,6.586
7.323318,0.0157,-4.9864,-1.1223,5.111
7.340660,0.2410,-3.5390,-0.7469,3.625
7.361150,0.1314,-4.0358,-1.0090,4.162
7.381252,0.7316,-3.2414,-0.5948,3.376
7.401423,0.0755,-2.2914,-0.8334,2.439
7.422872,-0.7538,-1.9381,-0.8072,2.231
7.443439,-0.8771,-1.6609,-0.4999,1.944
7.463567,-1.0824,-1.4475,-0.0282,1.808
7.481354,-0.9042,-1.3652,0.5144,1.716
7.501621,0.1134,-1.2231,0.3529,1.278
7.520881,0.2605,-1.1379,0.1242,1.174
7.541298,-0.0476,-1.0489,0.4053,1.125
7.564933,-0.0912,-0.6217,0.4325,0.763
7.589048,-0.3537,-0.3975,0.1395,0.550
7.602548,-0.3720,-0.0199,0.0361,0.374
7.622957,-0.3857,-0.1096,0.4332,0.590
7.643495,0.2014,-0.1676,0.6512,0.702
7.663879,0.5476,0.0231,0.2410,0.599
7.683759,0.0310,0.1440,0.1292,0.196
7.701823,-0.1344,-0.0678,0.2569,0.298
7.722566,0.0315,-0.0074,-0.0025,0.032
7.743517,-0.1173,0.0626,-0.0637,0.147
7.762709,0.0041,-0.0663,-0.0248,0.071
7.785280,0.1294,-0.0977,-0.0997,0.190
7.803174,0.0151,-0.0744,-0.0428,0.087
7.823525,0.0716,-0.0937,-0.1806,0.216
7.843744,0.0085,-0.0259,-0.2475,0.249
7.863683,-0.1932,-0.0518,-0.0309,0.202
7.883784,0.2026,-0.1745,-0.0215,0.268
7.904198,0.5601,-0.1533,-0.0361,0.582
7.924298,0.2404,-0.1538,0.0762,0.295
7.943865,-0.1707,-0.1447,0.2462,0.333
7.964542,-0.0776,-0.1508,0.2225,0.280
7.985441,0.2815,-0.1580,0.0808,0.333
8.005402,0.1556,-0.1591,0.2459,0.332
8.025827,-0.2229,-0.0573,0.1290,0.264
8.046851,-0.2986,0.0563,-0.3096,0.434
8.066114,-0.2157,0.1928,-0.3940,0.489
8.086674,-0.1729,0.0486,-0.1162,0.214
8.107025,-0.1004,0.0304,-0.1028,0.147
8.127314,0.0943,0.0540,0.0626,0.125
8.146794,0.1061,-0.0004,-0.0228,0.109
8.167329,0.0641,0.0404,-0.2169,0.230
8.187751,0.0436,0.0127,-0.1089,0.118
8.208476,-0.0965,-0.0014,0.0598,0.113
8.228391,-0.0828,-0.0174,0.0501,0.098
8.248431,0.0586,-0.0335,-0.0599,0.090
8.270322,0.0215,-0.1179,0.0804,0.144
8.288318,-0.1794,-0.1042,0.2872,0.354
8.310623,-0.0871,-0.1297,1.6172,1.625
8.328500,-0.1851,-0.9332,1.1428,1.487
8.349463,0.0746,-0.3122,0.6107,0.690
8.368539,0.3878,0.7266,-0.6535,1.051
8.389877,0.6617,1.1269,-1.6831,2.131
